,Location Name,Latitude,Longitude,Address,Description,Plugs_wall_AU/NZ,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Type2,Power 1,Power 2,Location_category ,charging_stations,payment,Plugs_Caravan_Mains_Socket,Plugs_Three_Phase,Plugs_Commando,Plugs_Other,State,Town
0,Gatton,-27.55140366,152.3350726,"Building 8156, The University of Queensland, Main Drive & Outer Ring Road, Gatton QLD 4343",University of Queensland Gatton Veterinary Hospital carpark,1.0,1.0,1.0,1.0,0,0.0,50,22,Commercial,4.0,0.2,0.0,0.0,0.0,0.0,,
1,Cairns,-16.92045651,145.7788731,"1 Pier Point Rd, Cairns City QLD 4870, Australia",Lagoon car park (between the Esplanade and Pier Point Rd),0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.3,0.0,0.0,0.0,0.0,,
2,Rockhampton,-23.38227211,150.5134619,"172-189 Alma St, Rockhampton City QLD 4700, Australia",Alma St carpark of council building.,0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
3,Coolangatta,-28.16419699,153.5152736,"1 Eastern Ave, Bilinga 4225","Gold Coast Airport. Carparks near northbound second entrance off Gold Coast Highway, near amenities",0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.3,0.0,0.0,0.0,0.0,,
4,Hamilton,-27.44449167,153.0836111,"North Shore Hamilton
281 MacArthur Ave, Hamilton QLD 4007","Eat St carpark, near roundabout at end of Macarthur Ave. Ultimate location will be at a new park created by closure of Curtin Ave West, close to Kingsford Smith Dr and Gateway Motorway (from 2019).",0.0,2.0,2.0,0.0,0,2.0,50,22,Public,5.0,0.3,0.0,0.0,0.0,0.0,,
5,Maryborough,-25.53982619,152.6991534,"102 Lennox St, Maryborough 4650","Lennox St (near Alice St), perpendicular car parks in front of government building",0.0,1.0,1.0,0.0,0,1.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
6,Childers,-25.23560702,152.2788755,"1-3 Crescent St, Childers QLD 4660, Australia","Crescent St, new dedicated carpark created near off-street caravan parking",0.0,1.0,1.0,0.0,0,1.0,50,22,Public,4.0,0.3,0.0,0.0,0.0,0.0,,
7,Marlborough,-22.82764427,149.9327796,"71209 Kunwarara Rd, Marlborough QLD 4705, Australia","Puma service station, south of Marlborough",0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
8,Mackay,-21.13971112,149.1852379,"3 Gregory St, Mackay QLD 4740, Australia",Council owned Carpark cnr Gregory and River Sts,0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
9,Bowen,-20.01660114,148.2480204,"80 Santa Barbara Parade, Bowen QLD 4805, Australia","Santa Barbara Pde, near tourist info building and toilets.",0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
10,Tully,-17.93486278,145.9244323,"Morris St, Tully QLD 4854, Australia","Parking in council carpark cnr Writ Ln/Morris St, near playground",0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.3,0.0,0.0,0.0,0.0,,
11,Miriam Vale,-24.32778446,151.5601492,"39 Blomfield St, Miriam Vale QLD 4677, Australia","Blomfield St, On-street perpendicular parking just north of Alf Larson Park",0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
12,Carmila,-21.90865281,149.4090921,"8 Music St, Carmila QLD 4739, Australia","Near Service Station, Carmila",0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
13,Townsville,-19.32382549,146.7587996,"4 James Cook Dr, Douglas QLD 4814, Australia","James Cook University, near Supermarket",0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
14,Toowoomba,-27.5202159,151.8501711,"10783 Warrego Hwy, Charlton QLD 4350, Australia","Caltex Charlton Travel Centre, Warrego Hwy",0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
15,Cooroy,-26.418047,152.911429,"Cooroy Railway Station, Cooroy QLD 4563, Australia",Cooroy Train Station carpark,0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
16,Springfield,-27.68194444,152.8997222,"4 David Henry Way, Springfield Central QLD 4300, Australia",Carpark on David Henry Way,0.0,1.0,1.0,0.0,0,2.0,50,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
17,Yarraville,-37.81899541,144.8964976,"2/209 Hyde St, Yarraville VIC 3013","In carpark of Unit 2/209. If cars parked call phone or ask at the AAkonsult offices. Locked gates outside business hours, try calling the mobile number listed but as this is a business the chances of getting through depend on time of calling, (e.g. very late at night would not be a good time!).",0.0,0.0,0.0,1.0,0,0.0,0,22,Public,1.0,,0.0,0.0,0.0,0.0,,
18,Kensington,-37.79687512,144.926417,"72 Altona Street, Kensington VIC 3031",BYO Type 2 Mennekes cable,0.0,0.0,0.0,0.0,0,2.0,0,22,Public,2.0,0.3,0.0,0.0,0.0,0.0,,
19,Docklands,-37.81279364,144.9373902,"8-9 Star Circus, Docklands VIC 3008, Australia","Parking level 1 yellow, section D.",0.0,0.0,0.0,1.0,0,0.0,0,22,Commercial,1.0,0,0.0,0.0,0.0,0.0,,
20,Docklands,-37.81209916,144.9392454,"90 Waterfront Way, Docklands VIC 3008, Australia","East car park, level 1, south end. Park and charge up to 90 min free when buying $10 at Woolworth. Max 11.5kW (3 phase x 16A x 240 voltage) EXTREMELY short cable. Just reaches to plug in point.",0.0,0.0,0.0,1.0,0,0.0,0,22,Commercial,1.0,0,0.0,0.0,0.0,0.0,,
21,Carlton,-37.80216073,144.9671638,204-218 Lygon St Carlton Victoria 3053 Australia,Station located on the right hand side as you enter Lygon Street Car Park. Charging is free with paid parking at $5 per hr. The Chargepoint charger has been replaced with a Type2 Ocular charger that opperates with the 'exploren' app. App is quick to install and register and opperates reliably. Good charging station,0.0,0.0,0.0,0.0,0,1.0,0,22,Commercial,1.0,p,0.0,0.0,0.0,0.0,,
22,Carlton,-37.80320151,144.9717566,"11 Nicholson St, Carlton VIC 3053, Australia",Entry to the Melbourne Museum Cark Park is from either Nicholson Street or Rathdowne Street. Charging stations are on car park level P2. Free to use Delta chargers.,0.0,0.0,0.0,0.0,2,0.0,0,22,Commercial,2.0,p,0.0,0.0,0.0,0.0,,
23,Parliament PI,-37.8110789,144.9764385,"1 Parliament Square Off, Parliament Pl, Melbourne VIC 3002, Australia","Porsche Destination Chargers, 11kW. 2 stations on wall straight ahead after entrance.",0.0,0.0,0.0,0.0,0,2.0,0,22,Commercial,2.0,p,0.0,0.0,0.0,0.0,,
24,Pullman Melbourne,-37.81581134,144.9832392,"192 Wellington Parade, Melbourne VIC 3002","Dining, Restrooms, Valet Parking, WiFi, Park, EV Parking, Lodging",0.0,0.0,0.0,2.0,0,0.0,0,22,Commercial,2.0,p,0.0,0.0,0.0,0.0,,
25,Port Melbourne,-37.82992222,144.9171103,"46 Cook St, Port Melbourne VIC 3207, Australia","10A double power point next to rear access door to main retail space. Parking is difficult during trading hours because the power point is positioned along the drive thru lane of Hungry Jacks. Access after Hungry Jacks has ceased trading is a safer proposition, but this location can be still be useful as last resort with the help of an extension cord if you don't mind it being driven over and parking in the waiting bay alongside the drive-thru lane.
Location of pin is accurate.",1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
26,Port Melbourne,-37.83163355,144.9194251,"30 Prohasky St, Port Melbourne VIC 3207, Australia",GET Electric with 7 22kW GET electric vehicle chargers,0.0,0.0,0.0,0.0,0,7.0,0,22,Public,7.0,0.31,0.0,0.0,0.0,0.0,,
27,Port Melbourne,-37.83316274,144.9197754,"327 Plummer St, Port Melbourne VIC 3207, Australia",Download the GET Electric app to begin instant charging.,0.0,0.0,0.0,0.0,0,3.0,0,22,Public,3.0,0.2,0.0,0.0,0.0,0.0,,
28,Port Melbourne,-37.8297164,144.9311229,"525 Graham St, Port Melbourne VIC 3207, Australia","2x 7kw chargers.
BYO cable",0.0,0.0,0.0,0.0,0,2.0,0,22,Public,2.0,0,0.0,0.0,0.0,0.0,,
29,South Melbourne,-37.83248694,144.9564174,"322 Coventry St, South Melbourne VIC 3205","Entry via Coventry Street, and located at the middle of the rooftop carpark (next to the lift). 2 x Type 2 (Mennekes) ports, BYO cable. No app required.",0.0,0.0,0.0,0.0,0,2.0,0,22,Commercial,2.0,0,0.0,0.0,0.0,0.0,,
30,South Melbourne,-37.82974328,144.960726,"229 Coventry St, South Melbourne VIC 3205, Australia",A 240v wall plug is in the back corner of the Level 1 carpark. Next to spot 60.,1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
31,South Melbourne,-37.83103692,144.961768,"214 Coventry street, south Melbourne",Not sure if it is private or public,0.0,0.0,0.0,1.0,0,0.0,50,0,Public,1.0,,0.0,0.0,0.0,0.0,,
32,South Melbourne,-37.83189437,144.9690271,"15-29 Bank Street, South Melbourne VIC 3205, Australia",There are around four wall-plugs on each floor and a great location to get some extra juice when you park there for work.,21.0,0.0,0.0,0.0,0,0.0,0,22,Public,21.0,p,0.0,0.0,0.0,0.0,,
33,Queens Road,-37.83477276,144.9737461,"1-3 Queens Road, Melbourne VIC 3004, Australia",Several PowerPoints around the place.,1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
34,Queens Road,-37.84977063,144.9784513,"67 Queens Rd, Melbourne VIC 3004",Available at bays 23 & 24,0.0,0.0,0.0,3.0,0,0.0,0,22,Commercial,3.0,p,0.0,0.0,0.0,0.0,,
35,Port Melbourne,-37.82377034,144.9265125,"2 Thackray Rd, Port Melbourne VIC 3207, Australia",Middy�s Port Melbourne 25kW Delta DC Only available during store trading hours. Trading Hours Monday to Friday 6.00am - 5.00pm Saturdays 7.00am - 12.00pm,0.0,1.0,1.0,0.0,0,0.0,50,0,Public,2.0,0.4,0.0,0.0,0.0,0.0,,
36,South Wharf,-37.82586889,144.9552364,"16 Normanby Road, South Wharf VIC 3006, Australia","PowerPoint on west wall , enter car park go left as far as you can. High up on wall. Several in the door 10 parking area",3.0,0.0,0.0,0.0,0,0.0,0,22,Commercial,3.0,p,0.0,0.0,0.0,0.0,,
37,Southbank,-37.81609341,144.9584272,"8 Whiteman Street, Southbank, Victoria, Australia, VIC 3006","Lodging, Dining, EV Parking, Restrooms, Shopping, WiFi",0.0,0.0,0.0,1.0,0,0.0,0,22,Public,1.0,,0.0,0.0,0.0,0.0,,
38,Southbank,-37.82082443,144.9649806,"70 City Rd, Southbank VIC 3006, Australia","2 x Porsche Destination Chargers, directly on the right after entry.",0.0,0.0,0.0,0.0,0,2.0,0,22,Public,2.0,0,0.0,0.0,0.0,0.0,,
39,Southbank,-37.82076345,144.9663122,"35-47 City Rd, Southbank VIC 3006, Australia","9 EV-Link chargers located on all levels of the car park (3 on each level). On the left parking spots of every level, near the lifts.",0.0,0.0,0.0,0.0,0,9.0,0,22,Public,9.0,,0.0,0.0,0.0,0.0,,
40,Southbank,-37.82123242,144.9673592,2 Kavanagh St Southbank VIC 3006 Australia,2 x EV plugs (J1772) that require no network card and are free to use for EV drivers.,0.0,0.0,0.0,0.0,2,0.0,0,22,Commercial,2.0,p,0.0,0.0,0.0,0.0,,
41,Downie St,-37.82020302,144.9555652,"25 Downie St, Melbourne VIC 3000, Australia","Lodging, Restrooms, Dining, EV Parking",0.0,0.0,0.0,0.0,0,2.0,0,22,Public,2.0,,0.0,0.0,0.0,0.0,,
42,Flinders Ln,-37.81890714,144.9577073,"476 Flinders Ln, Melbourne VIC 3000, Australia","Entrance from Flinders Lane. One Type 2 Wallbox charger (with cable) in the Mercedes display to the left after you enter. Another Type 2 wall charger on level C (BYO cable, usually ICEd) and multiple 240V outlets you can use, all are free to use but you need to pay for parking (see photos for rates applicable April 2022).",1.0,0.0,0.0,0.0,0,2.0,0,22,Public,3.0,0,0.0,0.0,0.0,0.0,,
43,Flinders Ln,-37.81861176,144.9586537,"450 Flinders Ln, Melbourne VIC 3000, Australia","10 x AC charger (Type 2), varying number on each floor. The first 4 floors are public access via Secure Parking, floors 5-9 are for Deloitte Employees only. Feb 2022: the two chargers at level 2 now have a �reserved� sign up for ServiceNow employees.",0.0,0.0,0.0,0.0,0,10.0,0,22,Public,10.0,p,0.0,0.0,0.0,0.0,,
44,Flinders St,-37.8180318,144.9640101,"300 Flinders St, Melbourne VIC 3000, Australia",2 x Tesla Destination Chargers on Level 2.,0.0,0.0,0.0,2.0,0,0.0,0,22,Public,2.0,p,0.0,0.0,0.0,0.0,,
45,Collins St,-37.81496609,144.9700935,"123 Collins St, Melbourne VIC 3000, Australia","Lodging, Dining, Shopping, Restrooms, EV Parking, WiFi, Park",0.0,0.0,0.0,1.0,0,0.0,0,22,Workplace,1.0,p,0.0,0.0,0.0,0.0,,
46,Flinders St,-37.81621089,144.9709391,"114-128 Flinders St, Melbourne VIC 3000, Australia","2 x Tesla AC 4kW chargers (Level 5); and 2 x Type 2 AC 4kW chargers (Level 6). Enter via Flinders Lane gets you directly to level 5, and turn right. Otherwise enter via Flinders St and keep going up until you reach level 5 and 6.",0.0,0.0,0.0,3.0,0,2.0,0,22,Public,5.0,0,0.0,0.0,0.0,0.0,,
47,Russell St,-37.81180407,144.9677026,"Russell St, Melbourne, Victoria, 3000 Australia","Chargefox network, Charging free with parking entry, Enter car park from Russell St. Two SmartWallbox universal charging stations: one is located on the rooftop level (immediately on your right after entry), and the other is located on level 3. Look for the blue coloured concrete parking places. BYO cable required however cables can be purchased via jetcharge.com.au and collected onsite via parking management, please contact JET Charge on 1300 856 328 for help obtaining a cable - During business hours. Charging rates: 11kW via three phase or 3.5kW via single phase.",0.0,0.0,0.0,0.0,0,2.0,0,22,Commercial,2.0,0,0.0,0.0,0.0,0.0,,
48,Collins St,-37.81780946,144.9552413,"589-599 Little Collins St, Melbourne VIC 3000, Australia",3 chargers for guests. Enter main gates and charging bays are in front of the lifts as you proceed down the first ramp. Spots are tight.,0.0,0.0,0.0,0.0,0,3.0,0,22,Public,3.0,0,0.0,0.0,0.0,0.0,,
49,Bourke St,-37.81638627,144.9547755,"636 Bourke St, Melbourne VIC 3000, Australia",Enter via Langs Lane. Only available to Alto Hotel guests. Register for ChargePoint Card at chargepoint.com.au,2.0,0.0,0.0,3.0,1,0.0,0,22,Workplace,7.0,0,0.0,0.0,0.0,0.0,,
50,Bourke St,-37.81477906,144.956447,"542 Little Bourke St, Melbourne VIC 3000, Australia","North west corner of most levels, power point low on wall near fire hose reel",1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
51,Lonsdale St,-37.81343708,144.955934,"535 Little Lonsdale St, Melbourne VIC 3004, Australia","Dining, EV Parking, Lodging, Shopping, Restrooms, Park",0.0,0.0,0.0,2.0,0,0.0,0,22,Public,2.0,p,0.0,0.0,0.0,0.0,,
52,Bourke St,-37.81581182,144.9595123,"501 Bourke Street, Melbourne? VIC? 3000, Australia",2 Tesla plus 2 Type 2 Socket charging stations located on level B1 near the members lift. Car park entry on Chancery Lane off Bourke Street or off Little Collins Street. 2nd charger spot is behind the down ramp. Installed by JET Charge and on Chargefox Network. Type 2 to Type 1 cables included. If you have a Type 2 car you need BYO cable.,0.0,0.0,0.0,2.0,1,2.0,0,22,Public,5.0,0,0.0,0.0,0.0,0.0,,
53,Lonsdale St,-37.8130787,144.9582143,"460 Lonsdale St, Melbourne VIC 3000, Australia",Parking & Dining,1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
54,Lonsdale St,-37.81137439,144.9633783,"300 Lonsdale St, Melbourne VIC 3000, Australia",Melbourne Central Carpark P2. Outlet is located behind the pillar to the left of the lift.,1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
55,Latrobe Street,-37.81241851,144.95362,300 Latrobe Street Melbourne,Only 10A wall socket available,3.0,0.0,0.0,0.0,0,0.0,0,22,Public,3.0,p,0.0,0.0,0.0,0.0,,
56,West Melbourne,-37.81010363,144.9510094,"45 Dudley St, West Melbourne VIC 3003, Australia","Motel with limited car parking. 10A PowerPoint/Powerboard at rear roller door, will need extension lead.",1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,,0.0,0.0,0.0,0.0,,
57,Queen St,-37.80782358,144.9581717,"460 Queen St, Melbourne VIC 3000, Australia",12 x Schneider type 2 EV chargers located in B2 level BYO charging cable. Ticketless payment system and underground 500 car spaces total.,0.0,0.0,0.0,0.0,0,12.0,0,22,Public,12.0,p,0.0,0.0,0.0,0.0,,
58,Bourke St,-37.81211268,144.9709222,"129 Bourke St, Melbourne VIC 3000, Australia","2 x Chargepoint J1772 (Type 1) chargers. Activate with RFID card and WAIT two mins, gently tug on the plug and eventually it will click and unlock. Vacuum services is available. Air and window cleaning is out of service. Operated by Juice Bar. ChargePoint card required. Officially known as 121 Exhibition Street but enter from Bourke Street.",0.0,0.0,0.0,0.0,2,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
59,Russell St,-37.81129305,144.967822,"222 Russell St, Melbourne VIC 3000, Australia","2 x Porsche Destination Chargers (Type 2, 11kW AC). Entry level, bays 261 & 262.",0.0,0.0,0.0,0.0,0,2.0,0,22,Public,2.0,,0.0,0.0,0.0,0.0,,
