name,address,postcode,latitude,longitude,networks,total_plugs,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw
Highpoint Shopping Centre - Basement Carpark,"Rosamond Road, Maribyrnong VIC 3032, Australia",3032,-37.772002,144.887869,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Vaclift,"39 Tullamarine Park Road, Tullamarine VIC 3043, Australia",3043,-37.709632,144.871383,['Non-networked'],1,0,0,0,0,1,0,,0,0,,['unknown']
RACV Cape Schanck Resort,"6 Presnell Ct, Cape Schanck VIC 3939, Australia",3939,-38.461847,144.893721,"['Tesla Destination', 'Non-networked']",7,0,0,0,0,2,0,,4,1,,"[4.0, 'unknown']"
Schnapper Point Dr Parking/Charging,"Schnapper Point Dr, Mornington VIC 3931, Australia",3931,-38.215455,145.035453,['Non-networked'],1,0,0,0,0,0,1,,0,0,,['unknown']
Priority One Trade Services,"65 Watt Road, Mornington 3931, Australia",3931,-38.231677,145.056367,['Non-networked'],1,0,0,0,0,0,0,,1,0,,[22.0]
Peninsula Home Shopping Centre,"1130-1134 Nepean Highway, Mornington VIC 3931, Australia",3931,-38.220693,145.061207,['EVUp'],4,0,0,0,0,0,0,,4,0,,[22.0]
Dandenong Market - Southern Car Park (Coming Soon),"40 Cleeland St, Dandenong VIC 3175, Australia",3175,-37.984494,145.216329,['Non-networked'],1,0,0,0,1,0,0,,0,0,,['unknown']
Ventia Head Office Carpark,"20 Corporate Drive, Heatherton 3202, Australia",3202,-37.950648,145.080488,['ChargePoint'],2,0,0,0,2,0,0,,0,0,,[6.6]
North Drive Office Complex,"236 E Boundary Rd, Bentleigh East VIC 3165, Australia",3165,-37.909599,145.062347,['ChargePoint'],1,0,0,0,1,0,0,,0,0,,['unknown']
Hume Villa Motor Inn,"1324 Sydney Rd, Fawkner VIC 3060, Australia",3060,-37.696652,144.959707,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Foreshore Camping,"1380 Point Nepean Rd, Rosebud VIC 3939, Australia",3939,-38.359707,144.888748,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Dromana Drive-in,"133 Nepean Hwy, Dromana VIC 3936, Australia",3936,-38.329727,144.996685,['EVUp'],6,0,0,0,0,0,0,,6,0,,['unknown']
Springvale Library,"9 Hillcrest Grove, Springvale VIC 3171, Australia",3171,-37.957007,145.153146,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Waverley Gardens Shopping Centre,"271 Police Rd, Mulgrave VIC 3170, Australia",3170,-37.935556,145.189902,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Element Melbourne Richmond,"588 Swan St, Richmond VIC 3121, Australia",3121,-37.826921,145.020707,['EVUp'],4,0,0,0,0,0,0,,4,0,,[22.0]
Springvale MEGA Centre,"754-769 Princes Hwy, Springvale VIC 3171, Australia",3171,-37.94168,145.167746,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Sandown Raceway Carpark,"37 Davis Way, Springvale VIC 3171, Australia",3171,-37.950836,145.162663,['Non-networked'],3,0,0,0,0,0,3,,0,0,,[8.0]
Pullman Melbourne Albert Park,"67 Queens Rd, Melbourne VIC 3004, Australia",3004,-37.849977,144.97831,['Tesla Destination'],3,0,0,0,0,3,0,,0,0,,"[11.0, 22.0]"
BMW South Yarra,"145 Williams Rd, Prahran VIC 3181, Australia",3181,-37.849295,145.00279,"['ChargePoint', 'Non-networked']",4,0,0,0,0,0,0,,2,2,,['unknown']
Barwon Valley Lodge,"99 Barrabool Rd, Belmont VIC 3216, Australia",3216,-38.166789,144.341445,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[22.0]
Northern Motor Group - Pre Delivery Dept,"55 Clements Avenue, Bundoora 3083, Australia",3083,-37.704572,145.072077,['Non-networked'],1,0,0,0,1,0,0,,0,0,,['unknown']
Club Armstrong,"101 Unity Drive, Mount Duneed VIC 3217, Australia",3217,-38.225341,144.328361,['ChargePoint'],2,0,0,0,2,0,0,,0,0,,['unknown']
Middy's Lilydale,"34 Melba Ave, Lilydale VIC 3140, Australia",3140,-37.761942,145.346082,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Mantra Epping,"250 Cooper St, Epping VIC 3076, Australia",3076,-37.649756,145.008102,"['Tesla Destination', 'Non-networked']",4,0,0,0,0,2,0,,2,0,,"[5.0, 'unknown']"
Glenroy Community Hub,"50 Wheatsheaf Rd, Glenroy 3046, Australia",3046,-37.708497,144.924037,['Non-networked'],1,0,0,0,0,0,0,,1,0,,[11.0]
Glen Eira City Council,"256 Hawthorn Road, Caulfield VIC 3162, Australia",3162,-37.880835,145.022852,['Chargefox'],4,0,0,0,0,0,0,,4,0,,['unknown']
Yarra Valley Nissan,"460-462 Maroondah Highway, Lilydale VIC 3140, Australia",3140,-37.754859,145.363238,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Secure Parking,"15-29 Bank Street, South Melbourne VIC 3205, Australia",3205,-37.832108,144.969126,['Non-networked'],21,0,0,0,0,0,0,,0,21,,['unknown']
Good Guys,"1 Gertrude St, Frankston VIC 3199, Australia",3199,-38.148237,145.138689,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Richmond Traders Coles,"46 Cameron St, Richmond VIC 3121, Australia",3121,-37.817041,144.998664,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Just Honk Used Cars,"4-6 Fitzgerald Rd, Laverton North VIC 3026, Australia",3026,-37.843884,144.782596,['Exploren'],1,0,0,0,0,0,0,,1,0,,['unknown']
Hebco Industrial,"19-25 Trade Place Vermont VIC 3133, Australia",3133,-37.833743,145.18642,['Non-networked'],1,0,0,0,0,1,0,,0,0,,['unknown']
West Oval,"Weddell Rd, North Geelong VIC 3215, Australia",3215,-38.129308,144.345207,['Non-networked'],2,0,0,0,0,0,0,,2,0,,[22.0]
Quest Mont Albert,"741-745 Whitehorse Road, Mont Albert VIC 3127, Australia",3127,-37.815833,145.10738,['Non-networked'],3,0,0,0,0,0,0,,0,3,,['unknown']
Community Bank Stadium,"129-163 Main Hurstbridge Rd, Diamond Creek VIC 3089, Australia",3089,-37.673703,145.166098,['Chargefox'],1,0,0,0,0,0,0,,1,0,,['unknown']
Collingwood Library,"13 Stanton St, Abbotsford VIC 3067, Australia",3067,-37.804471,144.99327,['Evie Networks'],8,4,4,0,0,0,0,,0,0,,[50.065]
Holmesglen Private Hospital,"490 South Rd, Moorabbin VIC 3189, Australia",3189,-37.93704,145.050288,['Non-networked'],4,0,0,0,0,0,0,,4,0,,['unknown']
Coles South Melbourne,"229 Coventry St, South Melbourne VIC 3205, Australia",3205,-37.832375,144.960369,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
IKEA Richmond,"630 Victoria St, Richmond VIC 3121, Australia",3121,-37.812895,145.010271,['Non-networked'],4,0,0,0,0,0,0,,4,0,,['unknown']
Prahran Square,"Prahran Square, 30-40 Izett Street, Prahran VIC 3181, Australia",3181,-37.847695,144.99266,"['Chargefox', 'Non-networked']",12,0,0,0,0,0,0,,2,10,,['unknown']
Ivanhoe Library,"233 Upper Heidelberg Road, Ivanhoe VIC 3079, Australia",3079,-37.766356,145.044964,['EVUp'],2,0,0,0,0,0,0,,2,0,,['unknown']
Coles Lilydale,"51-59 Anderson St, Lilydale VIC 3140, Australia",3140,-37.756189,145.354065,['Non-networked'],3,0,0,0,0,0,0,,0,3,,['unknown']
Springvale Homemaker Centre,"Springvale Homemaker Centre, 917 Princes Highway, Springvale VIC 3171, Australia",3171,-37.927929,145.143552,"['Tesla Destination', 'Non-networked']",10,0,0,0,0,3,0,,7,0,,"['unknown', 22.0]"
Clayton M City,"2145 Dandenong Road, Clayton VIC 3168, Australia",3168,-37.922053,145.140054,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Watergardens Shopping Centre,"399 Melton Highway, Taylors Lakes VIC 3038",3038,-37.699043,144.775876,['Tesla Destination'],3,0,0,0,0,3,0,,0,0,,[22.0]
Pullman Melbourne on the Park,"192 Wellington Parade, Melbourne VIC 3002",3002,-37.815994,144.983228,['Non-networked'],2,0,0,0,0,2,0,,0,0,,['unknown']
Woolworths Fishermans Bend,"525 Graham St, Port Melbourne VIC 3207, Australia",3207,-37.830671,144.931658,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Cunningham Pier,"10 Western Foreshore Rd, Geelong VIC 3220, Australia",3220,-38.143296,144.361213,['Chargefox'],4,0,0,0,0,0,0,,4,0,,['unknown']
Monash University Clayton - Car Park S2,"20 Ancora Imparo Way, Clayton VIC 3800, Australia",3800,-37.914282,145.1338,"['Chargefox', 'Non-networked']",3,0,0,0,0,0,0,,2,1,,['unknown']
Pacific Epping Shopping Centre,"583 High St, Epping VIC 3076, Australia",3076,-37.653416,145.016892,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[22.0]
Eastland Shopping Centre,"175 Maroondah Hwy, Ringwood VIC 3134, Australia",3134,-37.81425,145.229003,['Tesla Destination'],4,0,0,0,0,4,0,,0,0,,"[11.0, 15.0]"
Red Rock (Coming Soon),"4 Lynton Ct, Cowes VIC 3922, Australia",3922,-38.453893,145.199794,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
The Arts Centre,2 Kavanagh St Southbank VIC 3006 Australia,3006,-37.822715,144.96767,['Non-networked'],2,0,0,0,2,0,0,,0,0,,['unknown']
Melbourne Museum,"11 Nicholson St, Carlton VIC 3053, Australia",3053,-37.804609,144.972702,['Non-networked'],2,0,0,0,2,0,0,,0,0,,['unknown']
Wilson Carpark,"1-3 Queens Road, Melbourne VIC 3004, Australia",3004,-37.835734,144.973525,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Flagstaff City Inn,"45 Dudley St, West Melbourne VIC 3003, Australia",3003,-37.810116,144.951048,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Morris Moor (Coming Soon),"282/284 Chesterville Rd, Moorabbin VIC 3189, Australia",3189,-37.941172,145.061402,['Chargebay'],6,0,0,0,0,0,0,,6,0,,['unknown']
The Prince Hotel,"2 Acland St, St Kilda VIC 3182, Australia",3182,-37.862284,144.973965,"['Tesla Destination', 'Non-networked']",4,0,0,0,0,2,0,,2,0,,"['unknown', 22.0]"
Stokehouse St Kilda,"30 Jacka Blvd, St Kilda VIC 3182, Australia",3182,-37.86758,144.974352,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Hotel 115 Guest Carpark,"115 Cotham Rd, Kew VIC 3101, Australia",3101,-37.807448,145.039021,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Clubs Assist,"237 243 Frankston Dandenong Rd, Dandenong South, VIC, 3175",3175,-38.022421,145.213927,['Non-networked'],1,0,0,0,1,0,0,,0,0,,['unknown']
Lygon Street Car park,204-218 Lygon St Carlton Victoria 3053 Australia,3053,-37.802158,144.96708,['Exploren'],1,0,0,0,0,0,0,,1,0,,['unknown']
Melbourne Convention Exhibition Centre,"16 Normanby Road, South Wharf VIC 3006, Australia",3006,-37.82613,144.953107,['Non-networked'],3,0,0,0,0,0,0,,0,3,,['unknown']
Crown Metropol Melbourne,"8 Whiteman Street, Southbank, Victoria, Australia, VIC 3006",3006,-37.825511,144.957692,['Tesla Destination'],1,0,0,0,0,1,0,,0,0,,[22.0]
Melbourne Central Carpark,"300 Lonsdale St, Melbourne VIC 3000, Australia",3000,-37.811734,144.963518,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Westfield Doncaster,"619 Doncaster Rd, Doncaster VIC 3108, Australia",3108,-37.78342,145.126058,"['ChargePoint', 'Tesla Destination']",6,0,0,0,4,2,0,,0,0,,"[6.6, 22.0]"
Bitternfields Shopping Centre,"2432 Frankston - Flinders Rd, Bittern VIC 3918, Australia",3918,-38.336376,145.177183,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Armstrong Creek Town Centre,"540 Torquay Rd, Armstrong Creek VIC 3217, Australia",3217,-38.22808,144.339931,['Non-networked'],2,0,0,0,0,0,0,,2,0,,[7.0]
Secure Parking (300 Flinders St),"300 Flinders St, Melbourne VIC 3000, Australia",3000,-37.818268,144.96402,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[3.0]
Dan Murphy's Armstrong Creek,"458 Torquay Road, Armstrong Creek 3217, Australia",3217,-38.225361,144.337345,['Non-networked'],3,0,0,0,0,0,0,,3,0,,['unknown']
South Melbourne Market Rooftop Parking,"322 Coventry St, South Melbourne VIC 3205",3205,-37.83203,144.956791,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Berwick BMW,"6 Coventry Rd, Narre Warren VIC 3805",3805,-38.026209,145.311511,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Park Hyatt Melbourne,"1 Parliament Square Off, Parliament Pl, Melbourne VIC 3002, Australia",3002,-37.811933,144.976125,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Greensborough Plaza,"25 Main St, Greensborough VIC 3088, Australia",3008,-37.702301,145.102344,['Chargefox'],4,0,0,0,0,0,0,,4,0,,['unknown']
WaterMarc Car Park,"1 Flintoff St, Greensborough VIC 3088, Australia",3008,-37.704042,145.10525,['Non-networked'],3,0,0,0,0,0,0,,3,0,,['unknown']
Flagstaff Car Park,"535 Little Lonsdale St, Melbourne VIC 3004, Australia",3004,-37.813111,144.955756,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[22.0]
Queen Victoria Market - Underground Carpark,"460 Queen St, Melbourne VIC 3000, Australia",3000,-37.807804,144.958282,['Non-networked'],12,0,0,0,0,0,0,,12,0,,['unknown']
300 Latrobe Street - Wilson Car Park,300 Latrobe Street Melbourne ,3000,-37.810021,144.960653,['Non-networked'],3,0,0,0,0,0,0,,0,3,,['unknown']
Pentridge Shopping Centre,"1 Champ St, Coburg VIC 3058, Australia",3058,-37.736669,144.969336,['Non-networked'],3,0,0,0,0,0,0,,3,0,,['unknown']
Coles Express with co-located Hungry Jacks,"46 Cook St, Port Melbourne VIC 3207, Australia",3207,-37.829682,144.917185,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Westfield Southland,"1239 Nepean Hwy, Cheltenham VIC 3192, Australia",3192,-37.958461,145.053615,['ChargePoint'],4,0,0,0,4,0,0,,0,0,,['unknown']
Westfield Southland - Icon Car Wash,"40 Chesterville Rd, Cheltenham VIC 3192, Australia",3192,-37.959294,145.056598,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Hyatt Centric Melbourne,"25 Downie St, Melbourne VIC 3000, Australia",3000,-37.820407,144.955802,['EVUp'],2,0,0,0,0,0,0,,2,0,,['unknown']
Chadstone Shopping Centre Carpark A,"1341 Dandenong Rd, Chadstone VIC 3148",3148,-37.886337,145.07958,['Non-networked'],5,0,0,0,0,0,0,,5,0,,['unknown']
Jet City Hangar 131,"Essendon Fields VIC 3042, Australia",3042,-37.719978,144.892935,['Tesla Destination'],1,0,0,0,0,1,0,,0,0,,[22.0]
Essendon Nissan,"288 Wirraway Rd, Essendon Fields, VIC, 3041",3041,-37.720262,144.895849,['ChargePoint'],1,0,0,0,1,0,0,,0,0,,['unknown']
Brooklands of Mornington,"99 Tanti Ave, Mornington, VIC, Australia, 3931",3931,-38.221655,145.045807,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[22.0]
Flinders Hotel,"23-31 Cook Street, Flinders, Victoria, Australia, VIC 3929",3929,-38.474449,145.019202,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[8.0]
Flinders General Store rear car park,"48 Cook Street, Flinders VIC 3929, Australia",3929,-38.473287,145.016892,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Secure Parking - 460 Lonsdale Street Car Park,"460 Lonsdale St, Melbourne VIC 3000, Australia",3000,-37.813049,144.958347,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
David Street Car Park,"1 David St, Brunswick, Victoria, Australia, 3056",3056,-37.771404,144.962021,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Stockland Point Cook - Below Woolworths,"1A Main Street, Point Cook VIC 3030, Australia",3030,-37.884233,144.734115,"['ChargePoint', 'Tesla Destination']",2,0,0,0,1,1,0,,0,0,,"['unknown', 22.0]"
Middy's Smart Centre (Behind Mulgrave Branch),"214 Wellington Rd, Clayton VIC 3168, Australia",3168,-37.918327,145.148532,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
The Fashion Capital - Tesla,"1341 Dandenong Rd, Malvern East VIC 3145, Australia",3145,-37.884862,145.082357,['Non-networked'],2,0,0,0,0,2,0,,0,0,,['unknown']
Cellarbrations,"185a Rosslyn St, West Melbourne VIC 3003, Australia",3003,-37.809802,144.948932,['Non-networked'],4,0,0,0,0,0,0,,4,0,,['unknown']
District Docklands Shopping - West Carpark,"8-9 Star Circus, Docklands VIC 3008, Australia",3008,-37.812855,144.93695,['Tesla Destination'],1,0,0,0,0,1,0,,0,0,,[22.0]
Wilson Parking,"222 Russell St, Melbourne VIC 3000, Australia",3000,-37.811294,144.967823,['Non-networked'],2,0,0,0,0,0,0,,2,0,,[11.0]
BP Caroline Springs (Coming Soon),"1324-1332 Western Hwy, Caroline Springs VIC 3023, Australia",3023,-37.75577,144.741077,['Non-networked'],1,1,0,0,0,0,0,,0,0,,['unknown']
Alto Hotel,"636 Bourke St, Melbourne VIC 3000, Australia",3000,-37.816254,144.954636,"['Tesla Destination', 'Non-networked']",7,0,0,0,1,3,1,,0,2,,"['unknown', 22.0]"
Queens & Collins,"Level 6/93-95 Queen St, Melbourne VIC 3000, Australia",3000,-37.81594,144.961493,['Non-networked'],4,0,0,0,0,0,0,,4,0,,['unknown']
Wilson Parking,"542 Little Bourke St, Melbourne VIC 3000, Australia",3000,-37.814781,144.956451,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Kinglake Library (rear of the Police Station),"19 Whittlesea-Kinglake Rd, Kinglake VIC 3763, Australia",3763,-37.531509,145.339577,['EVUp'],2,0,0,0,0,0,0,,2,0,,[22.0]
Kinglake Reserve (beside public toilets),"1 Kinglake-Glenburn Rd, Kinglake VIC 3763, Australia",3763,-37.53009,145.340696,['EVUp'],2,0,0,0,0,0,0,,2,0,,[22.0]
Grand Hyatt Melbourne,"123 Collins St, Melbourne VIC 3000, Australia",3000,-37.814844,144.969685,['Tesla Destination'],1,0,0,0,0,1,0,,0,0,,[22.0]
Whittlesea Motel,"36 Walnut St, Whittlesea VIC 3757, Australia",3757,-37.511926,145.119479,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Federation Square Car Park,"Russell St, Melbourne, Victoria, 3000 Australia",3000,-37.817739,144.971282,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
ACDC Garage,"114-128 Flinders St, Melbourne VIC 3000, Australia",3000,-37.816185,144.97077,"['Tesla Destination', 'EVUp']",5,0,0,0,0,3,0,,2,0,,"[3.0, 'unknown']"
Secure Parking (Southern Cross),"129 Bourke St, Melbourne VIC 3000, Australia",3000,-37.812452,144.969535,['ChargePoint'],2,0,0,0,2,0,0,,0,0,,['unknown']
Holiday Inn Express Melbourne Little Collins,"589-599 Little Collins St, Melbourne VIC 3000, Australia",3000,-37.817852,144.955291,['Non-networked'],3,0,0,0,0,0,0,,3,0,,['unknown']
Tooronga Village,"766 Toorak Rd, Glen Iris VIC 3146",3146,-37.845907,145.046669,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[22.0]
Victoria Gardens Shopping Centre,"Unit 41 B/620 Victoria St, Richmond VIC 3121, Australia",3121,-37.812603,145.011729,"['OpenLoop', 'Non-networked']",2,0,0,0,0,0,0,,2,0,,['unknown']
Wilson Parking Eureka,"70 City Rd, Southbank VIC 3006, Australia",3006,-37.821726,144.965184,['Non-networked'],2,0,0,0,0,0,0,,2,0,,[11.0]
Hungry Fox Café,"Essendon Fields Airport, Wirraway Road, Essendon Fields VIC 3041, Australia",3041,-37.719767,144.89451,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
QV Melbourne - Car Park,"180 Lonsdale Street, Melbourne VIC 3000, Australia",3000,-37.810679,144.966601,['Non-networked'],3,0,0,0,0,0,0,,0,3,,['unknown']
The Fashion Capital - Parking Block F,"1341 Dandenong Road, Malvern East VIC 3145, Australia",3145,-37.887286,145.0824,['Tesla Destination'],4,0,0,0,0,4,0,,0,0,,[10.0]
Holiday Inn Express Melbourne Southbank,"35-47 City Rd, Southbank VIC 3006, Australia",3006,-37.821895,144.966652,['Non-networked'],9,0,0,0,0,0,0,,9,0,,['unknown']
Secure Parking (450 Flinders Lane),"450 Flinders Ln, Melbourne VIC 3000, Australia",3000,-37.818758,144.958866,['Non-networked'],10,0,0,0,0,0,0,,10,0,,['unknown']
Rialto Car Park,"476 Flinders Ln, Melbourne VIC 3000, Australia",3000,-37.8191,144.957613,['Non-networked'],3,0,0,0,0,0,0,,2,1,,['unknown']
Lorbek Luxury Cars,"327 Plummer St, Port Melbourne VIC 3207, Australia",3207,-37.833209,144.919764,['Everty'],3,0,0,0,0,0,0,,3,0,,[22.0]
Lorbek Luxury Cars,"30 Prohasky St, Port Melbourne VIC 3207, Australia",3207,-37.832093,144.919335,['Non-networked'],7,0,0,0,0,0,0,,7,0,,['unknown']
